Category,Job Role,Location,Job Description,Required Skills,MIn Salary(INR/year) in lpa,Max Salary(INR/year) in lpa,Average salary,Company
Analytics / Data,Data Analyst – Car Marketplace Insights,India,Analyse automotive marketplace data and user trends for CarWale.,"SQL/Excel, data visualization",8,14,11,CarWale
Android / Mobile Development,Android Application Developer,"Gurugram, India",Develop and maintain Android app for Shiprocket’s mobile users.,"Kotlin/Java, Android SDK, APIs",12,22,17,Shiprocket
Animation / Graphics,Character Animator – Narrative Gameplay,Bengaluru / India,Create game-character animations and narrative gameplay sequences for Rockstar India.,"Animation software, Storytelling, Creativity",5,10,7.5,Rockstar Games
App Development,Android Developer,Noida,Develop Android apps for clients using modern frameworks.,"Kotlin, Java, Firebase",8,15,11.5,AppInventiv
Art & Design,3D Artist,Hyderabad,Create 3D models and textures for in-game assets.,"Blender, Maya, Photoshop",10,20,15,Activision Blizzard
Audio / Multimedia,Audio Engineer – Game Development,Bengaluru / India,Develop game audio/voice assets for Rockstar’s game titles.,"Audio software, Sound design, Game development",5,9,7,Rockstar Games
Audit / Assurance,Audit Senior – India,India,"Conduct audits for clients, ensure regulations and controls are met at EY.","Accounting, Auditing, Communication",10,16,13,EY
Audit / Control,Internal Audit Specialist,India,Conduct audits of internal processes and ensure compliance.,"Auditing, ERP knowledge, Reporting",9,15,12,JPMorgan
Avionics / Embedded,Avionics Software Engineer – Launch Vehicles,India,Develop embedded software for rocket avionics and flight systems.,"C/C++, Embedded systems, Aerospace domain",14,22,18,Brahmastra Space
Backend / Node.js,Software Developer – Node.js,Mumbai / India,Develop backend modules for digital-wealth / fintech platform.,"Node.js, JS, databases (Mongo/SQL), API dev",6,14,10,Valuefy Solutions
Backend Development,Backend Engineer,Bengaluru,Maintain scalable backend for ride-hailing and delivery services.,"Go, Java, PostgreSQL",20,25,22.5,Gojek
Backend Development,Backend Developer,Bengaluru,Build and manage the main server logic for the Dukaan app so users can run their stores smoothly.,"Node.js, Express, MongoDB, AWS, Git",15,20,17.5,Dukaan
Backend Development,Backend Developer,Ahmedabad,Manage the database and APIs for Reelo’s platform.,"Node.js, MySQL, AWS",12,18,15,Reelo
Backend Development,Software Engineer – Backend,Bengaluru / India,Develop backend systems powering customer-engagement and AI solutions.,"Python/Java, APIs, cloud fundamentals",11,35,23,[24]7.ai
Backend Development,Node.js Developer,Noida,Build scalable APIs and backend systems for startups.,"Node.js, Express, MongoDB",10,18,14,AppInventiv
Banking / Finance,Clearing & Settlement Analyst,Bengaluru,Ensure trading / securities transactions are cleared and settled accurately.,"Finance knowledge, data accuracy, Excel",9,15,12,Deutsche Bank
Banking / Finance Tech,Software Engineer – Digital Banking Platform,India,Build features for DBS’s digital banking and financial services.,"Java/Kotlin, APIs, Databases",12,20,16,DBS Bank
Banking Ops,CLM‐KYC Associate,Bengaluru,Manage client lifecycle and onboarding with full compliance checks.,"Excel, attention to detail, banking rules",8,14,11,Deutsche Bank
Big Data / Analytics,Data Engineer – Big Data Platform,India / Remote,Build data pipelines and analytics infrastructure for Cloudera’s hybrid-data platform.,"SQL, Python/Scala, Hadoop/Spark, ETL",15,24,19.5,Cloudera
Blockchain / FinTech,Blockchain Developer,Remote,Develop secure blockchain-based payment tools.,"Solidity, JavaScript, Web3.js",20,35,27.5,Block Inc.
Blockchain / Smart Contracts,Blockchain Developer – Web3,Remote / India-eligible,Write smart contracts and blockchain modules for the ecosystem.,"Solidity, Web3.js, smart contract tooling",18,30,24,5ire
Business / Operations,Business Analyst – Consulting Projects,India,Support consulting projects through analysis and stakeholder work.,"Excel, Communication, Problem solving",10,16,13,Publicis Sapient
Business / Operations,Client Operations Associate,India,Support investment operations and client service functions.,"Communication, Excel, Process understanding",8,14,11,AQR
Business / Partnerships,Corporate Partnerships Manager,India,"Develop partnerships with enterprises, banks for insurance distribution.","Sales, Business Development, Negotiation",12,20,16,Digit Insurance
Business / Sales,Business Development Manager,Gurgaon,"Generate new business opportunities, manage partnerships in travel vertical.","BD, Communication, Negotiation",14,12,13,Cleartrip (LinkedIn)
Business / Sales,Business Development Manager,India,Grow partnerships and drive business growth for Tencent’s products.,"Sales, Communication, Negotiation",12,16,14,Tencent (Indeed)
Business / Sales,Sales Lead,Delhi,Manage client accounts and business pipelines,"CRM, Negotiation, Leadership",10,8,9,Accord
Business / Sales,Key Account Manager – Logistics Clients,India,Manage large key-accounts in logistics/fulfilment space.,"Sales, Relationship management, Logistics domain",9,9,9,Shiprocket
Business / Sales,Sales & Partnerships,India,Build partnerships and lead outreach for Able,"Sales Strategy, Communication",8,12,10,Able
Business / Sales,Customer Success Manager ,India,Maintain customer relationships,"CRM Tools, Reporting, Support",8,22,15,Accord
Business / Sales,Business Development Associate,India,Seek new clients and help the company grow its market presence.,"Sales, Excel, Communication",8,14,11,IHS Markit
Business / Sales,Business Analyst ,India,Gather business requirements and produce reports,"Documentation, SQL, Excel",6,20,13,Infospoke
Business / Sales,Placement Coordinator ,Bengaluru,Coordinate student placements and recruiter outreach,"Excel, CRM, Communication",5,16,10.5,CodeNation
Business Analysis,Business Analyst – Wealth Tech,Mumbai / India,Analyse data and create product insights for wealth management.,"Excel, analytics, finance domain basics",8,14,11,Valuefy Solutions
Business Development,Business Associate,Mumbai,Help find new business partners and improve existing collaborations.,"Sales, Excel, Communication",6,10,8,Avail Finance
Business Development / Sales,Senior Account Executive – Mid Market Sales,"Mumbai, India",Sell Equinix’s solutions to medium-size businesses and expand accounts. (careers.equinix.com),"Sales, Account management, Communication, Prospecting",15,25,20,Equinix
Change Management,Change Management Specialist,India,Facilitate organisational change for client transformations.,"Communication, stakeholder management, training",13,20,16.5,BCG
Change Management,Change Manager – Client Implementation,India,Help implement change programs for clients at McKinsey.,"Consulting, Communication, Stakeholder management",12,20,16,McKinsey & Company
Client / Service,Account Manager – Digital Marketing,India,Manage client relationships and deliver digital marketing services.,"Client communication, marketing knowledge",8,13,10.5,Reprise Digital
Cloud / DevOps,Site Reliability Engineer,Remote / India,Ensure Grafana’s infrastructure is reliable and scalable. (Indeed),"Docker/Kubernetes, Monitoring, Linux",35,60,47.5,Grafana Labs
Cloud / DevOps,Cloud Engineer,Bangalore,Manage cloud infrastructure for Cisco products.,"AWS/Azure, Terraform, Linux",14,20,17,Cisco
Cloud / DevOps,Cloud Infrastructure Engineer,India,Manage and automate cloud infrastructure for Zoho’s services.,"AWS/Azure, Terraform, Monitoring",12,22,17,Zoho Corporation
Cloud / Infra,Cloud Engineer,India,Build and manage cloud environments and services for Dell’s enterprise solutions.,"AWS/Azure, Terraform, Linux",16,22,19,Dell Technologies
Cloud / Infra,DevOps Engineer,Bengaluru / India,"Manage cloud infrastructure, CI/CD and deployment pipelines.","Linux, Docker/Kubernetes, AWS/Azure",15,25,20,Citrix
Cloud / Infra,Cloud Engineer,Pune,Maintain cloud environments and CI/CD systems.,"AWS/Azure, Linux, Jenkins",14,25,19.5,BNY Mellon
Cloud / Infrastructure,Infrastructure Engineer,Remote,Manage GitLab’s infrastructure stack,"Kubernetes, Terraform, Linux",18,12,15,GitLab
Cloud / Infrastructure,GCP Engineer / Cloud Data Engineer,"Bengaluru, India",Build and manage cloud data & analytics infrastructure for Fractal. (Indeed),"GCP/AWS, Big Data, ETL",18,16,17,Fractal Analytics
Cloud / Infrastructure,Cloud Engineer – ML Infrastructure,India / Remote,Build cloud & data infrastructure for ML/AI deployments at Quantiphi.,"AWS/GCP, Terraform, Kubernetes",17,25,21,Quantiphi
Cloud / Infrastructure,DevOps Engineer – Manufacturing Cloud,India,Manage cloud infrastructure for manufacturing software services.,"AWS, Terraform, CI/CD",16,14,15,Cimpress
Cloud / Infrastructure,Cloud/Systems Engineer,India,Manage cloud infrastructure for large telecom services.,"AWS/Azure, Linux, automation",15,12,13.5,Airtel
Cloud / Infrastructure,DevOps Engineer – Security Platform,India,Automate deployments & manage cloud infrastructure for data-security.,"AWS/Azure, Docker/Kubernetes, Security Knowledge",15,25,20,Protegrity
Cloud / Infrastructure,DevOps Engineer,India,"Automate deployments, manage infrastructure and CI/CD pipelines.","Jenkins, Docker, Kubernetes",14,24,19,Avaya
Cloud / Infrastructure,Systems Engineer – Cyber Resilience,India,"Manage backup, recovery and cyber resilience infrastructure.","Linux, Backup tools, Storage, Monitoring",14,22,18,"Commvault (Commvault Systems, Inc.)"
Cloud / Infrastructure,Cloud Engineer – DevOps,India,Build and manage cloud infrastructure and deployment pipelines.,"AWS/Azure, Docker/Kubernetes, CI/CD",14,20,17,OpenText
Cloud / Infrastructure,Cloud Engineer – Enterprise File Sharing,Bengaluru / India,Build infrastructure for Box’s cloud file-sharing and collaboration platform.,"AWS/Azure, Linux, APIs, Cloud services",13,,13,Box
Cloud / Infrastructure,Data Center & Customer Operations Engineer,"Mumbai, India",Operate and maintain Equinix’s data centre infrastructure and support customers. (careers.equinix.com),"Data centre operations, Hardware, Networking, Customer interface",12,26,19,Equinix
Cloud / Infrastructure,DevOps Engineer,Chennai,Implement CI/CD pipelines for mission software,"Docker, Jenkins, AWS",10,24,17,Agnikul Cosmos
Cloud / Infrastructure,IT Infrastructure Manager ,India,Manage corporate IT and network infrastructure,"Networking, ITIL, Security",9,24,16.5,Agile Solutions
Cloud / Infrastructure,Cloud Administrator,India,Maintain cloud and SharePoint systems,"Azure, AWS, Linux",8,27,17.5,Infospoke
Cloud / Infrastructure,Systems Engineer ,India,Deploy and manage internal cloud services,"VMware, AWS, Scripting",8,22,15,Accord
Cloud / SaaS,Cloud Architect – Data Services,India / Remote,Design cloud-native services for Druva’s SaaS data-protection platform.,"AWS/Azure, Microservices, Data services",15,23,19,Druva
Cloud Computing,Cloud Architect,Remote,Manage large-scale distributed systems on the cloud.,"AWS, Terraform, CI/CD",30,28,29,Block Inc.
Cloud Computing,Cloud Engineer,Pune,Deploy and manage cloud-based services and storage systems.,"AWS, Docker, Kubernetes",15,50,32.5,BlackBerry
Community / Content,Community Manager – Developer Platform,Remote,Engage developer communities and run events for Hashnode.,"Community management, Writing, Social media",8,14,11,Hashnode
Community / Events,Community / Events Lead,Remote / India-eligible,Organise developer/community events and grow ecosystem engagement.,"Event management, communication, community building",8,14,11,5ire
Community / Growth,Community Manager – Gaming Platform,India,Manage gaming community and engagement for BlueStacks platform.,"Communication, gaming culture knowledge, social media tools",6,11,8.5,BlueStacks
Community / Partner Success,Creator Success Manager,Remote,Support and manage relationships with creators on the platform.,"Community management, Communication, CRM",7,13,10,Contra
Community / Support,Community & Engagement Specialist,India / Remote,"Manage and grow Discord’s user-community, content and engagement. (Indeed)","Communication, social media, community tools",15,24,19.5,Discord
Compliance / Banking Ops,KYC Analyst,Bengaluru,"Handle Know Your Client (KYC) checks, regulatory compliance and account onboarding for Deutsche Bank.","Compliance, data entry, banking processes",7,12,9.5,Deutsche Bank
Compliance / Content,Equity Research / Content Intern / Executive,"Bengaluru, India",Create user-friendly investment content & support compliance at Groww.,"Writing, finance basics, communication",4,10,7,Groww (Glassdoor)
Compliance / Risk,Risk & Compliance Analyst – Financial Services,India,"Monitor compliance, risk for Principal’s financial services operations.","Regulatory understanding, Excel, attention to detail",10,16,13,Principal Financial Group
Computer Vision / Web Dev,Software Engineer – AR/VR / Vision Systems,India,Build vision-based web/AR systems for Eyerov Systems.,"JavaScript/Unity/C++, Computer Vision knowledge",11,19,15,Eyerov Systems
Consulting / Advisory,Associate Consultant – Business Consulting Risk,"Hyderabad, India",Work on business risk and consulting projects at EY India. (LinkedIn),"Problem solving, Analytics, Communication",12,18,15,EY
Consulting / Analytics,Consultant – Analytics & Decision Science,India,Work with clients to derive insights and build analytics solutions at Fractal.,"SQL/Python, Consulting mindset, Communication",14,,14,Fractal Analytics
Consulting / Business Ops,Analytics Consultant – Digital Marketing,India,Work with clients on analytics/digital-marketing projects at iQuanti.,"Analytics, SQL, client communication",9,15,12,iQuanti
Consulting / Business Process,Business Process Associate – IT/BPO Services,India,Work on business process or IT delivery for HCL’s clients.,"Communication, basic tech/typing skills",4,9,6.5,HCL Technologies
Consulting / Delivery,Delivery Manager – BPM Services,India,Manage delivery of business-process solutions for large clients.,"Leadership, process knowledge, communication",9,15,12,Genpact
Consulting / Implementation,Implementation Consultant – HealthTech,India / Remote,Work with clients to deploy healthcare software solutions.,"Consulting, Communication, Healthcare systems",11,17,14,athenahealth
Consulting / Insights,AI Consultant – Strategic Solutions,India / Remote,Work with clients to deliver AI-driven solutions for business problems.,"Analytics, Client Interaction, Domain knowledge",16,15,15.5,Quantiphi
Consulting / Insights,Associate Consultant – Analytics,India,Work on client challenges at ZS using data & insights. (ZS Jobs),"Data Science, SQL, Client Communication",9,24,16.5,ZS Associates
Consulting / Project,Project Manager – Market Research Services,India,Manage market-research projects and deliverables for Kantar’s clients.,"Project management, Communication, Analytics",9,15,12,Kantar
Consulting / Services,IT Consultant – Open Source Integration,India,Work with clients to integrate Red Hat’s open-source solutions in their enterprise stack.,"Consulting, OSS knowledge, Communication",10,14,12,Red Hat
Consulting / Services,Analytics Consultant – Business Insights,India,Work with clients on analytics & insights for business decisions.,"Analytics, SQL, Client communication",9,15,12,Impact Analytics
Consulting / Services,IT Consultant – Digital Transformation,India,Work on client-projects for digital transformation at IBM.,"Communication, project knowledge, tech fundamentals",8,16,12,IBM
Consulting / Solution,Cloud Consultant – Enterprise Digital Transformation,India,Work with clients to implement Oracle’s cloud enterprise solutions.,"Consulting, Cloud domain knowledge, Communication",12,20,16,Oracle Corporation
Consulting / Solutions,Risk Consultant – Financial Services,India,Advise clients on using FICO’s risk/analytics solutions.,"Consulting, domain knowledge, analytics",10,16,13,FICO
Consulting / Strategy,Senior Consultant,India,Lead parts of consulting projects and client relationships.,"Strategy, team management, communication",22,22,22,BCG
Consulting / Strategy,Senior Consultant – Digital Transformation,India,Help clients adapt digital technologies and improve processes.,"Consulting, Analytical thinking, Communication",15,35,25,Publicis Sapient
Consulting / Strategy,Associate Consultant,India,"Work with client teams on business strategy projects (e.g., BCG)","Excel, PowerPoint, problem solving",14,25,19.5,Boston Consulting Group
Consulting / Strategy,Consultant – Management Consulting,India,"Work on business strategy, help clients solve major problems at McKinsey.","Problem-solving, Excel/PowerPoint, Communication",14,22,18,McKinsey & Company
Consulting / Strategy,Technology Consultant – Strategy & Consulting,India,Help clients develop strategies and implement digital/technology transformations. (Accenture),"Consulting, Tech understanding, Communication",12,24,18,Accenture
Consulting / Strategy,Consultant – Digital Transformation & Delivery,India,Work on consulting/delivery projects with ThoughtWorks’ clients.,"Problem-solving, Consulting mindset, Communication",12,20,16,ThoughtWorks
Consulting / Support,Business Systems Analyst,India,Work with clients to understand requirements and support their data/analytics solutions.,"Analysis, SQL, Stakeholder communication (Teradata)",9,15,12,Teradata
Content / Creative,Promo Editor / Writer – Indic Languages,India,Write/produce promo content in regional languages for ShareChat/Moj platforms.,"Writing, Regional language fluency, Creativity",7,12,9.5,ShareChat Technology Pvt. Ltd.
Content / Creative,Content Operations / Moderation Associate,India,"Monitor content, enforce guidelines and support platform safety.","Communication, attention to detail, basic moderation procedures",6,10,8,ShareChat
Content / Design,Content Designer,India,Create and coordinate learning content and manage educator-relations.,"Graphic design, Communication, Education domain",3.5,6,4.75,Unacademy
Content / Education,Content Developer – Tech Learning,India,Develop educational content and courses for GeeksforGeeks.,"Domain knowledge, writing skills",6,11,8.5,GeeksforGeeks
Content / Education,Curriculum Developer – Tech Learning,India,Create technical learning content for HackerEarth’s platform.,"Domain knowledge, writing, tech fundamentals",6,11,8.5,HackerEarth
Content / Education,Curriculum Developer – Coding Courses,India,Create coding/algorithm courses and content for Coding Ninjas.,"Programming, Writing, Domain knowledge",6,11,8.5,Coding Ninjas
Content / Policy,Content Operations Specialist,India,Review and moderate app content for quality and compliance.,"Communication, Local Knowledge",6,10,8,ByteDance
Content / Production,Content Acquisition Associate,India,"Help acquire, license and coordinate Indian content for Netflix.","Content knowledge, Communication, Negotiation",10,10,10,Netflix
Content / Production,Junior Content Producer / Editor,India,"Create and edit media content, work with production teams on digital content output.","Writing, Video editing basics, Communication",6,18,12,"Discovery, Inc."
Credit / Risk,Credit Risk Analyst – Banking Operations,India,Analyse credit risk and support banking decisions for Capital One.,"Excel, Risk modelling, Banking knowledge",9,15,12,Capital One
Credit / Risk,Credit Risk Analyst – Retail Banking,India,Analyse credit/risk for retail banking products at HDFC.,"Excel, risk modelling, banking domain",9,15,12,HDFC Bank
Customer / Business Dev,Business Support Associate – Trading Operations,India,Support business operations & technology for Tower Research’s trading teams.,"Communication, Excel/SQL, domain knowledge",9,14,11.5,Tower Research Capital
Customer / Business Dev,Business Support / Associate – Operations,India,"Support operations, trade flows & systems at WorldQuant.","Communication, Excel/SQL, operations understanding",8,14,11,WorldQuant
Customer / Community,Community Manager – Gaming Platform,India / Remote,Manage player/community engagement and platforms for Epic Games.,"Social media, Communication, Gaming know-how",9,9,9,Epic Games
Customer / Community,Community Manager – Creative Platform,India,Manage community & user engagement for a creative-tech platform.,"Social Media, Communication, Content",5,14,9.5,Obvious.in
Customer / Field Ops,On-boarding Specialist – Sellers,India,On-board sellers and train them to use Jumbotail’s system.,"Communication, Training, Basic IT Skills",6,10,8,Jumbotail
Customer / Field Ops,Field Sales / On-boarding Specialist,India,"Visit small businesses, onboard them to KhataBook’s solutions.","Communication, Training, Basic Accounting",5,9,7,KhataBook
Customer / Field Service,Field Service Engineer – Semiconductor Tools,India,Provide field support for Lam Research’s equipment at customer sites.,"Troubleshooting, Communication, Technical service skills",9,14,11.5,Lam Research
Customer / Field Service,Field Service Engineer – Security Equipment,India,Provide on-site support for Smiths Detection’s security/detection devices.,"Troubleshooting, Communication, Field experience",7,12,9.5,Smiths Detection
Customer / Growth,Customer Success Manager – FinTech SaaS,India,Help customers get value from the financial operations platform.,"Communication, SaaS product knowledge, Analytics",10,16,13,Airbase
Customer / Growth,Growth Marketing Specialist – FinTech,India,Run marketing campaigns to acquire users for the fintech insurance platform.,"Digital Marketing, Analytics, Communication",9,16,12.5,Acko
Customer / Operations,Operations Manager – Fulfilment,India,"Oversee order fulfilment, logistics & partner operations for PharmEasy.","Excel, Logistics, Coordination",10,9,9.5,PharmEasy
Customer / Operations,Merchant Onboarding Manager – Payments Platform,India / Remote,Onboard merchants and manage payment/crypto platform integrations at Checkout.com.,"Communication, project management, payments domain",9,16,12.5,Checkout.com
Customer / Operations,Fleet Operations Analyst – Delivery & Fulfilment,India,Analyse and support fleet operations for Delhivery’s logistics network.,"Excel, Analytics, Logistics awareness",8,12,10,Delhivery
Customer / Operations,Customer Service Specialist – Telehealth,India,Handle patient-/provider-queries for Practo’s digital health services.,"Communication, CRM, Basic tech skills",7,16,11.5,Practo
Customer / Operations,Operations Associate – Merchant Support,India,Support merchant operations & service for Magicpin’s platform.,"Communication, Basic analytics, Excel",5,14,9.5,Magicpin
Customer / Partnerships,Technical Account Manager – CDN Solutions,India,Manage client relationships and technical delivery for CDN solutions.,"Communication, Networking, Technical knowledge",11,18,14.5,Akamai
Customer / Retail Support,Retail Associate – Flagship Store,India,Assist customers in Nike retail store; maintain product display & sale.,"Communication, Sales skills, Retail knowledge",4,8,6,Nike
Customer / Sales,Account Manager – Tech Solutions,India,Manage client relationships and service contracts for Fujitsu.,"Sales, communication, IT/business knowledge",9,15,12,Fujitsu
Customer / Service,Customer Success Manager – SaaS/Data Platform,India,Support enterprise users of Rubrik’s SaaS/data-platform products.,"Communication, SaaS knowledge, Cloud domain",11,12,11.5,Rubrik
Customer / Service,Client Service Associate – Prime Brokerage,India / Remote,Provide client support & operations for brokerage and markets products.,"Communication, Financial products awareness",8,9,8.5,Credit Suisse
Customer / Service,Technical Support Engineer – Equipment,India,Support KLA’s semiconductor equipment at customer sites.,"Troubleshooting, Communication",8,9,8.5,KLA Corporation
Customer / Service,Client Service Associate – Wealth Management,India,Provide service/support for Morgan Stanley’s private-wealth clients.,"Communication, Finance product understanding",8,10,9,Morgan Stanley
Customer / Service,Client Service Associate – Wealth Platform,India,Provide service/support to clients of Principal’s wealth management platform.,"Communication, financial product knowledge",8,10,9,Principal Financial Group
Customer / Service,Technical Support Engineer – Medical Equipment,India,Provide field/support services for medical-imaging equipment from Siemens Healthineers.,"Troubleshooting, Communication, Healthcare domain",8,13,10.5,Siemens Healthineers
Customer / Service,Client Relationship Manager – Banking/Wealth,India,Manage client relationships for Wells Fargo’s banking/wealth clients.,"Communication, financial product knowledge",8,9,8.5,Wells Fargo
Customer / Service,Client Onboarding Specialist – Payment Solutions,India,Assist clients in onboarding to payment solutions and provide support.,"Communication, CRM, finance basics",7,13,10,Fiserv
Customer / Service,Sales Executive – Home Appliances,India,Sell Godrej’s home-appliances and assist customers.,"Sales, communication, product knowledge",7,11,9,Godrej & Boyce
Customer / Service,Customer Support Engineer,India,Provide technical support & services for delivered solutions.,"Troubleshooting, CRM, Basic scripting",6,11,8.5,Accolite
Customer / Service,Technical Support Engineer – IT Services,India,Provide support for enterprise IT services delivered by EPAM.,"Communication, Troubleshooting, ITSM basics",6,9,7.5,EPAM Systems
Customer / Service,Client Service Associate – Markets,India,Support client queries about financial analytics/data from FactSet.,"Communication, finance domain knowledge",6,12,9,FactSet
Customer / Service,Client Support Specialist – Analytics Platform,India,Support clients using iQuanti’s analytics tools & platforms.,"Communication, basic analytics, tool knowledge",6,9,7.5,iQuanti
Customer / Service,Relationship Manager – Retail Banking,India,Manage customer relationships and service in Kotak’s retail banking division.,"Communication, product knowledge",6,9,7.5,Kotak Mahindra Bank
Customer / Service,Customer Service Executive – Marketplace Users,India,"Assist users/merchants on Nykaa’s platform, handle queries.","Communication, CRM tools",6,10,8,Nykaa
Customer / Service,Customer Support Specialist – Global Services,India,Provide support for PayPal’s global customer & merchant users.,"Communication, CRM, problem-solving",6,14,10,PayPal
Customer / Service,Patient/Client Support Specialist,India,Provide service/support for patients and clinical operations.,"Communication, empathy, healthcare domain",6,10,8,Providence Health & Services
Customer / Service,Technical Support Engineer – Consumer Electronics,India,Provide user/technical support for Samsung’s consumer devices.,"Communication, Troubleshooting, Device knowledge",6,9,7.5,Samsung
Customer / Service,Recruitment/Talent Specialist – IT Staffing,India,Support staffing operations and client delivery at TEKsystems.,"Communication, recruiting process knowledge",6,12,9,TEKsystems
Customer / Service,Associate – Consulting Engagement Support,India,Provide support/operations roles in consulting projects at ThoughtWorks.,"Communication, basic tech/process awareness",6,10,8,ThoughtWorks
Customer / Service,Customer Support Associate – E-commerce,India,"Handle customer queries, order issues and service for retail platform.","Communication, CRM tools, Problem-solving",5,11,8,AJIO
Customer / Service,Customer Service Executive – Loans & Credit,India,"Handle customer queries related to loans, credit, and marketplace services.","Communication, CRM tools, problem-solving",5,13,9,BankBazaar
Customer / Service,Customer Service Associate – Digital Banking,India,Handle customer queries and digital banking operations for Capital One.,"Communication, CRM tools, Finance basics",5,10,7.5,Capital One
Customer / Service,Customer Support Associate – Auto Marketplace,India,Handle queries and help users/buyers in CarWale’s marketplace.,"Communication, CRM tools",5,9,7,CarWale
Customer / Service,Technical Support Engineer – Software Services,India,Provide technical support for GlobalLogic’s clients.,"Troubleshooting, communication",5,17,11,GlobalLogic
Customer / Service,Customer Service Associate – Banking Support,India,Provide customer support for HDFC Bank’s services.,"Communication, CRM tools",5,9,7,HDFC Bank
Customer / Service,Customer Service Executive – Retail Banking,India,Handle customer queries for HSBC’s retail banking products.,"Communication, CRM tools, basic banking product knowledge",5,10,7.5,HSBC
Customer / Service,Customer Support Specialist – Platform Users,India,Provide support for QuickSell’s users and sellers on the platform.,"Communication, CRM tools",5,13,9,QuickSell
Customer / Service,Driver Support / Service Coordinator – Fleet Services,India,Provide support for drivers/fleet operations at Rivigo.,"Communication, Problem-solving, Basic tech use",5,10,7.5,Rivigo
Customer / Service,Customer Success Associate – Job Platform,India,Provide support for users of Salarybox’s career-tech platform.,"Communication, CRM tools",5,10,7.5,Salarybox
Customer / Service,Driver/Partner Support Specialist,India,Provide support for Uber’s drivers/partners in India.,"Communication, problem-solving",5,9,7,Uber Technologies
Customer / Service,Customer Service Representative – FMCG,India,Assist customers/distributors about Amway products/service.,"Communication, CRM, product knowledge",4,14,9,Amway
Customer / Solutions,Solutions Engineer – Analytics & Data Platform,India / Remote,Work with clients to implement Cloudera’s data solutions and drive value from data.,"Communication, SQL, Cloud, Data modelling",12,20,16,Cloudera
Customer / Success,Technical Account Manager – Issuers,India / Remote,Manage relationships with issuing banks using Mastercard services.,"Communication, FinTech knowledge",12,11,11.5,Mastercard
Customer / Success,Customer Success Manager,India / Remote,Help customers effectively use Planful’s product and ensure satisfaction.,"Communication, SaaS knowledge",11,17,14,Planful
Customer / Success,Customer Success Manager – SaaS Solutions,India,Help small business clients use Intuit’s software effectively.,"Communication, SaaS product knowledge",11,16,13.5,Intuit
Customer / Success,Technical Account Manager – Enterprise Networking,India / Remote,Manage customer relationships and technical delivery for Juniper’s network clients.,"Communication, networking knowledge, enterprise service orientation",11,16,13.5,Juniper Networks
Customer / Success,Customer Success Manager – SaaS Clients,India,Help enterprise clients use ServiceNow’s workflow & IT-services platform.,"Communication, SaaS knowledge",11,16,13.5,ServiceNow
Customer / Success,Customer Success Engineer – API Platform,India / Remote,Help clients integrate and succeed with Twilio’s APIs and communication tools.,"Communication, SaaS/Platform knowledge",11,16,13.5,Twilio
Customer / Success,Customer Success Manager – India Region,Bengaluru/India,Help users adopt the software platform successfully and achieve value.,"Communication, SaaS product knowledge",10,16,13,Whatfix
Customer / Success,Customer Success Manager – Enterprise SaaS,India,Ensure enterprise clients get value from AppDynamics’ monitoring solutions.,"Communication, SaaS knowledge, client management",10,15,12.5,AppDynamics
